Ativo	Data	Último (R$)	Var. Dia	Var. Sem	Var. Mês	Var. Ano	Var. 12M	Val. Mín	Val. Máx	Volume	Quantidade de ações	Empresa	Segmento	Idade	Catedoria_idade	Var. Dia (%)	Valor Inicial (R$)	Variação (R$)	Resultado	Var. Sem. (%)	Valor Inicial (R$)	Variação. Sem. (R$)	Resultado	Var. Mês (%)	Valor Inical (R$)	Variação (R$)	Resultado	Var. Ano (%)	Var. Incial (R$)	Variação (R$)	Resultado	Var. 12M(%)	Valor Inicial (R$)	Variação (R$)	Resultado
BBDC3	1/26/2024	13,75	0,36	-0,72	-9,95	-9,95	15,78	13,67	13,9	45,86 M	1.500.728.902	Banco Bradesco	Banco	78	71-80 anos	0,0036	R$ 13,70	R$ 74.019.610,05	Subiu	-0,0072	R$ 13,85	-R$ 149.649.638,70	Desceu	-0,0995	15,27	-R$ 2.280.049.671,35	Desceu	-0,0995	R$ 15,27	-R$ 2.280.049.671,35	Desceu	0,1578	R$ 11,88	R$ 2.812.408.477,38	Subiu
GGBR4	1/26/2024	21,84	0,27	3,65	-8,08	-8,08	-26,1	21,7	21,94	109,02 M	1.118.525.506	Gerdau	Siderurgia	120	111-120 anos	0,0027	R$ 21,78	R$ 65.779.607,10	Subiu	0,0365	R$ 21,07	R$ 860.244.855,15	Subiu	-0,0808	23,76	-R$ 2.147.335.336,95	Desceu	-0,0808	R$ 23,76	-R$ 2.147.335.336,95	Desceu	-0,261	R$ 29,55	-R$ 8.627.691.245,36	Desceu
RAIZ4	1/26/2024	3,74	0,26	0	-7,2	-7,2	15,46	3,71	3,78	19,84 M	1.193.047.233	Raízen	Energia e Logística	9	0-10 anos	0,0026	R$ 3,73	R$ 11.571.106,42	Subiu	0	R$ 3,74	R$ 0,00	Estável	-0,072	4,03	-R$ 346.189.395,37	Desceu	-0,0720	R$ 4,03	-R$ 346.189.395,37	Desceu	0,1546	R$ 3,24	R$ 597.457.718,96	Subiu
CPLE6	1/26/2024	10,07	0,19	0,9	-2,8	-2,8	32,08	9,96	10,13	97,05 M	1.679.335.290	Copel	Energia Elétrica	68	61-70 anos	0,0019	R$ 10,05	R$ 32.069.789,50	Subiu	0,009	R$ 9,98	R$ 150.840.592,00	Subiu	-0,028	10,36	-R$ 487.145.451,00	Desceu	-0,0280	R$ 10,36	-R$ 487.145.451,00	Desceu	0,3208	R$ 7,62	R$ 4.107.373.382,49	Subiu
VAMO3	1/26/2024	8,18	0,12	-3,76	-18,77	-18,77	-40,74	8,11	8,27	41,64 M	421.383.330	Grupo Vamos	Logística	52	51-60 anos	0,0012	R$ 8,17	R$ 4.131.341,16	Subiu	-0,0376	R$ 8,50	-R$ 134.667.527,06	Desceu	-0,1877	10,07	-R$ 796.486.600,41	Desceu	-0,1877	R$ 10,07	-R$ 796.486.600,41	Desceu	-0,4074	R$ 13,80	-R$ 2.369.681.794,62	Desceu
MRFG3	1/26/2024	9,74	0	5,3	0,41	0,41	17,99	9,61	9,86	39,65 M	331.799.687	Marfrig	Alimentos	12	11-20 anos	0	R$ 9,74	R$ 0,00	Estável	0,053	R$ 9,25	R$ 162.660.621,48	Subiu	0,0041	9,70	R$ 13.195.985,16	Subiu	0,0041	R$ 9,70	R$ 13.195.985,16	Subiu	0,1799	R$ 8,25	R$ 492.743.485,34	Subiu
ABEV3	1/26/2024	13,20	0	-1,12	-3,86	-3,86	0,3	13,15	13,29	86,92 M	4.394.245.879	Ambev	Bebidas	29	21-30 anos	0	R$ 13,20	R$ 0,00	Estável	-0,0112	R$ 13,35	-R$ 657.003.752,78	Desceu	-0,0386	13,73	-R$ 2.328.849.761,04	Desceu	-0,0386	R$ 13,73	-R$ 2.328.849.761,04	Desceu	0,003	R$ 13,16	R$ 173.491.661,82	Subiu
BBSE3	1/26/2024	33,73	-0,02	-2,37	0,24	0,24	0,91	33,73	34,03	99,61 M	671.750.768	BB Seguridade	Seguros	9	0-10 anos	-0,0002	R$ 33,74	-R$ 4.532.537,19	Desceu	-0,0237	R$ 34,55	-R$ 550.034.042,50	Desceu	0,0024	33,65	R$ 54.249.369,68	Subiu	0,0024	R$ 33,65	R$ 54.249.369,68	Subiu	0,0091	R$ 33,43	R$ 204.329.794,85	Subiu
SBSP3	1/26/2024	77,04	-0,06	1,37	2,22	2,22	45,92	76,52	77,69	128,66 M	340.001.799	Sabesp	Saneamento	48	41-50 anos	-0,0006	R$ 77,09	-R$ 15.725.678,56	Desceu	0,0137	R$ 76,00	R$ 354.004.359,03	Subiu	0,0222	75,37	R$ 568.872.037,57	Subiu	0,0222	R$ 75,37	R$ 568.872.037,57	Subiu	0,4592	R$ 52,80	R$ 8.242.985.720,12	Subiu
TOTS3	1/26/2024	30,88	-0,06	-2,65	-8,34	-8,34	5,89	30,65	31,34	42,83 M	514.122.351	Totvs	Tecnologia	41	41-50 anos	-0,0006	R$ 30,90	-R$ 9.531.377,75	Desceu	-0,0265	R$ 31,72	-R$ 432.169.082,97	Desceu	-0,0834	33,69	-R$ 1.444.541.337,32	Desceu	-0,0834	R$ 33,69	-R$ 1.444.541.337,32	Desceu	0,0589	R$ 29,16	R$ 883.088.283,99	Subiu
CMIG4	1/26/2024	11,64	-0,17	0,95	1,39	1,39	12,26	11,64	11,8	63,32 M	1.437.415.777	CEMIG	Energia Elétrica	68	61-70 anos	-0,0017	R$ 11,66	-R$ 28.492.019,83	Desceu	0,0095	R$ 11,53	R$ 157.453.627,16	Subiu	0,0139	11,48	R$ 229.379.744,61	Subiu	0,0139	R$ 11,48	R$ 229.379.744,61	Subiu	0,1226	R$ 10,37	R$ 1.827.261.988,59	Subiu
ELET6	1/26/2024	46,04	-0,19	-1,41	-2	-2	7,43	45,91	46,42	19,04 M	268.544.014	Eletrobras	Energia Elétrica	59	51-60 anos	-0,0019	R$ 46,13	-R$ 23.535.874,33	Desceu	-0,0141	R$ 46,70	-R$ 176.822.300,74	Desceu	-0,02	46,98	-R$ 252.321.763,36	Desceu	-0,0200	R$ 46,98	-R$ 252.321.763,36	Desceu	0,0743	R$ 42,86	R$ 855.094.334,78	Subiu
ENEV3	1/26/2024	12,87	-0,23	1,42	-5,44	-5,44	6,36	12,84	13,09	32,03 M	1.579.130.168	Eneva	Energia	15	11-20 anos	-0,0023	R$ 12,90	-R$ 46.851.590,76	Desceu	0,0142	R$ 12,69	R$ 284.551.720,29	Subiu	-0,0544	13,61	-R$ 1.169.197.595,45	Desceu	-0,0544	R$ 13,61	-R$ 1.169.197.595,45	Desceu	0,0636	R$ 12,10	R$ 1.215.276.960,02	Subiu
WEGE3	1/26/2024	33,17	-0,24	-0,93	-10,13	-10,13	-11,84	33,04	33,5	127,36 M	1.481.593.024	WEG	Equipamentos elétricos	57	51-60 anos	-0,0024	R$ 33,25	-R$ 118.230.410,44	Desceu	-0,0093	R$ 33,48	-R$ 461.333.701,06	Desceu	-0,1013	36,91	-R$ 5.539.481.287,86	Desceu	-0,1013	R$ 36,91	-R$ 5.539.481.287,86	Desceu	-0,1184	R$ 37,62	-R$ 6.600.160.807,35	Desceu
SLCE3	1/26/2024	19,30	-0,25	2,01	2,55	2,55	-10,11	19,1	19,51	29,74 M	195.751.130	SLC Agrícola	Agronegócio	44	41-50 anos	-0,0025	R$ 19,35	-R$ 9.468.663,68	Desceu	0,0201	R$ 18,92	R$ 74.441.462,47	Subiu	0,0255	18,82	R$ 93.943.362,88	Subiu	0,0255	R$ 18,82	R$ 93.943.362,88	Subiu	-0,1011	R$ 21,47	-R$ 424.914.314,60	Desceu
ALOS3	1/26/2024	24,62	-0,28	0,53	-7,27	-7,27	39,82	24,53	24,92	34,33 M	532.616.595	ALOS3	Logística	10	0-10 anos	-0,0028	R$ 24,69	-R$ 36.819.552,34	Desceu	0,0053	R$ 24,49	R$ 69.132.606,20	Subiu	-0,0727	26,55	-R$ 1.028.056.287,46	Desceu	-0,0727	R$ 26,55	-R$ 1.028.056.287,46	Desceu	0,3982	R$ 17,61	R$ 3.734.519.232,25	Subiu
CCRO3	1/26/2024	13,27	-0,3	-1,78	-6,42	-6,42	13,59	13,23	13,41	32,04 M	995.335.937	Grupo CCR	Infraestrutura	23	21-30 anos	-0,003	R$ 13,31	-R$ 39.743.554,31	Desceu	-0,0178	R$ 13,51	-R$ 239.365.017,65	Desceu	-0,0642	14,18	-R$ 906.134.351,52	Desceu	-0,0642	R$ 14,18	-R$ 906.134.351,52	Desceu	0,1359	R$ 11,68	R$ 1.580.228.771,40	Subiu
COGN3	1/26/2024	3,03	-0,32	-5,02	-13,18	-13,18	37,73	2,97	3,06	56,12 M	1.814.920.980	Cogna	Educação	53	51-60 anos	-0,0032	R$ 3,04	-R$ 17.653.966,51	Desceu	-0,0502	R$ 3,19	-R$ 290.651.053,47	Desceu	-0,1318	3,49	-R$ 834.826.022,86	Desceu	-0,1318	R$ 3,49	-R$ 834.826.022,86	Desceu	0,3773	R$ 2,20	R$ 1.506.463.477,70	Subiu
TRPL4	1/26/2024	26,12	-0,41	-1,25	-1,43	-1,43	22,81	26,09	26,4	27,59 M	395.801.044	Transmissão Paulista	Energia Elétrica	24	21-30 anos	-0,0041	R$ 26,23	-R$ 42.561.628,08	Desceu	-0,0125	R$ 26,45	-R$ 130.864.851,51	Desceu	-0,0143	26,50	-R$ 149.982.776,45	Desceu	-0,0143	R$ 26,50	-R$ 149.982.776,45	Desceu	0,2281	R$ 21,27	R$ 1.920.178.762,09	Subiu
EGIE3	1/26/2024	41,04	-0,46	0,56	-9,46	-9,46	13,41	40,92	41,59	43,45 M	255.236.961	Engie	Energia	21	21-30 anos	-0,0046	R$ 41,23	-R$ 48.407.328,15	Desceu	0,0056	R$ 40,81	R$ 58.332.915,00	Subiu	-0,0946	45,33	-R$ 1.094.464.207,64	Desceu	-0,0946	R$ 45,33	-R$ 1.094.464.207,64	Desceu	0,1341	R$ 36,19	R$ 1.238.592.210,86	Subiu
VBBR3	1/26/2024	23,23	-0,47	2,43	2,07	2,07	50,65	22,97	23,4	58,22 M	1.114.412.532	Vibra Energia	Energia	8	0-10 anos	-0,0047	R$ 23,34	-R$ 122.247.236,67	Desceu	0,0243	R$ 22,68	R$ 614.149.776,21	Subiu	0,0207	22,76	R$ 525.009.821,25	Subiu	0,0207	R$ 22,76	R$ 525.009.821,25	Subiu	0,5065	R$ 15,42	R$ 8.703.732.014,24	Subiu
IRBR3	1/26/2024	40,65	-0,65	5,45	-8,24	-8,24	73,5	40,09	41,4	74,33 M	81.838.843	IRB Brasil RE	Seguros	82	81-90 anos	-0,0065	R$ 40,92	-R$ 21.765.343,02	Desceu	0,0545	R$ 38,55	R$ 171.937.239,22	Subiu	-0,0824	44,30	-R$ 298.740.317,09	Desceu	-0,0824	R$ 44,30	-R$ 298.740.317,09	Desceu	0,735	R$ 23,43	R$ 1.409.314.404,29	Subiu
ELET3	1/26/2024	40,86	-0,65	-2,04	-3,7	-3,7	-3,64	40,86	41,44	109,87 M	1.980.568.384	Eletrobras	Energia Elétrica	59	51-60 anos	-0,0065	R$ 41,13	-R$ 529.460.651,34	Desceu	-0,0204	R$ 41,71	-R$ 1.685.270.409,43	Desceu	-0,037	42,43	-R$ 3.109.307.263,03	Desceu	-0,0370	R$ 42,43	-R$ 3.109.307.263,03	Desceu	-0,0364	R$ 42,40	-R$ 3.056.981.402,86	Desceu
PETZ3	1/26/2024	3,40	-0,87	-4,23	-13,92	-13,92	-46,63	3,35	3,47	49,03 M	309.729.428	Petz	Varejo	17	11-20 anos	-0,0087	R$ 3,43	-R$ 9.242.203,65	Desceu	-0,0423	R$ 3,55	-R$ 46.512.776,79	Desceu	-0,1392	3,95	-R$ 170.293.614,87	Desceu	-0,1392	R$ 3,95	-R$ 170.293.614,87	Desceu	-0,4663	R$ 6,37	-R$ 920.088.494,92	Desceu
EZTC3	1/26/2024	15,91	-0,93	-2,39	-14,92	-14,92	8,93	15,85	16,31	22,15 M	91.514.307	EZTEC	Construção Civil	42	41-50 anos	-0,0093	R$ 16,06	-R$ 13.667.842,34	Desceu	-0,0239	R$ 16,30	-R$ 35.650.265,06	Desceu	-0,1492	18,70	-R$ 255.329.219,04	Desceu	-0,1492	R$ 18,70	-R$ 255.329.219,04	Desceu	0,0893	R$ 14,61	R$ 119.361.187,33	Subiu
FLRY3	1/26/2024	16,49	-1,07	1,04	-8,59	-8,59	17,16	16,4	16,71	37,01 M	240.822.651	Fleury	Saúde	96	91-100 anos	-0,0107	R$ 16,67	-R$ 42.951.047,22	Desceu	0,0104	R$ 16,32	R$ 40.875.021,14	Subiu	-0,0859	18,04	-R$ 373.179.212,05	Desceu	-0,0859	R$ 18,04	-R$ 373.179.212,05	Desceu	0,1716	R$ 14,07	R$ 581.642.200,73	Subiu
SOMA3	1/26/2024	6,95	-1,27	-0,43	-6,71	-6,71	-30,01	6,87	7,14	60,82 M	496.029.967	Grupo Soma	Varejo	39	31-40 anos	-0,0127	R$ 7,04	-R$ 44.345.269,97	Desceu	-0,0043	R$ 6,98	-R$ 14.887.873,42	Desceu	-0,0671	7,45	-R$ 247.959.154,21	Desceu	-0,0671	R$ 7,45	-R$ 247.959.154,21	Desceu	-0,3001	R$ 9,93	-R$ 1.478.164.340,65	Desceu
ALPA4	1/26/2024	8,67	-1,36	4,08	-14,33	-14,33	-34,52	8,62	8,8	14 M	176.733.968	Alpargatas	Calçados	113	111-120 anos	-0,0136	R$ 8,79	-R$ 21.126.374,33	Desceu	0,0408	R$ 8,33	R$ 60.066.455,52	Subiu	-0,1433	10,12	-R$ 256.304.687,66	Desceu	-0,1433	R$ 10,12	-R$ 256.304.687,66	Desceu	-0,3452	R$ 13,24	-R$ 807.795.151,32	Desceu
CYRE3	1/26/2024	22,84	-1,38	2,38	-5,15	-5,15	60,09	22,62	23,34	104,26 M	265.784.616	Cyrela	Construção Civil	59	51-60 anos	-0,0138	R$ 23,16	-R$ 84.945.431,64	Desceu	0,0238	R$ 22,31	R$ 141.119.741,14	Subiu	-0,0515	24,08	-R$ 329.606.549,73	Desceu	-0,0515	R$ 24,08	-R$ 329.606.549,73	Desceu	0,6009	R$ 14,27	R$ 2.278.578.203,65	Subiu
EMBR3	1/26/2024	22,40	-1,4	5,02	0,04	0,04	34,29	22,26	22,92	60,86 M	734.632.705	Embraer	Aeroespacial	53	51-60 anos	-0,014	R$ 22,72	-R$ 233.651.943,50	Desceu	0,0502	R$ 21,33	R$ 786.592.824,34	Subiu	0,0004	22,39	R$ 6.579.677,17	Subiu	0,0004	R$ 22,39	R$ 6.579.677,17	Subiu	0,3429	R$ 16,68	R$ 4.201.864.935,44	Subiu
NTCO3	1/26/2024	15,97	-1,41	-7,37	-5,45	-5,45	23,51	15,84	16,43	213,23 M	846.244.302	Natura	Cosméticos	54	51-60 anos	-0,0141	R$ 16,20	-R$ 193.280.001,21	Desceu	-0,0737	R$ 17,24	-R$ 1.075.267.445,50	Desceu	-0,0545	16,89	-R$ 778.996.744,48	Desceu	-0,0545	R$ 16,89	-R$ 778.996.744,48	Desceu	0,2351	R$ 12,93	R$ 2.572.475.107,56	Subiu
ASAI3	1/26/2024	13,80	-1,42	-3,5	2	2	-34,02	13,63	14	79,67 M	1.349.217.892	Assaí	Varejo	56	51-60 anos	-0,0142	R$ 14,00	-R$ 268.201.195,09	Desceu	-0,035	R$ 14,30	-R$ 675.308.022,63	Desceu	0,02	13,53	R$ 365.082.488,42	Subiu	0,0200	R$ 13,53	R$ 365.082.488,42	Subiu	-0,3402	R$ 20,92	-R$ 9.600.264.005,22	Desceu
B3SA3	1/26/2024	13,22	-1,56	-4,13	-8,58	-8,58	3,88	13,18	13,42	487,27 M	5.602.790.110	B3	Bolsa de Valores	9	0-10 anos	-0,0156	R$ 13,43	-R$ 1.173.785.666,36	Desceu	-0,0413	R$ 13,79	-R$ 3.190.826.078,02	Desceu	-0,0858	14,46	-R$ 6.951.553.658,73	Desceu	-0,0858	R$ 14,46	-R$ 6.951.553.658,73	Desceu	0,0388	R$ 12,73	R$ 2.766.531.332,17	Subiu
HYPE3	1/26/2024	31,08	-1,61	-5,27	-13,06	-13,06	-27,52	30,91	31,72	107,71 M	409.490.388	Hypera	Farmacêutica	21	21-30 anos	-0,0161	R$ 31,59	-R$ 208.257.014,20	Desceu	-0,0527	R$ 32,81	-R$ 708.023.707,75	Desceu	-0,1306	35,75	-R$ 1.911.825.558,35	Desceu	-0,1306	R$ 35,75	-R$ 1.911.825.558,35	Desceu	-0,2752	R$ 42,88	-R$ 4.832.312.001,22	Desceu
SMTO3	1/26/2024	28,20	-1,94	0,36	-3,79	-3,79	17,1	28,13	28,97	73,55 M	142.377.330	São Martinho	Agronegócio	90	81-90 anos	-0,0194	R$ 28,76	-R$ 79.432.785,74	Desceu	0,0036	R$ 28,10	R$ 14.402.298,27	Subiu	-0,0379	29,31	-R$ 158.164.476,41	Desceu	-0,0379	R$ 29,31	-R$ 158.164.476,41	Desceu	0,171	R$ 24,08	R$ 586.312.519,83	Subiu
HAPV3	1/26/2024	3,93	-1,99	-2,24	-11,69	-11,69	-11,49	3,89	4,06	277,57 M	4.394.332.306	Hapvida	Saúde	43	41-50 anos	-0,0199	R$ 4,01	-R$ 350.645.389,91	Desceu	-0,0224	R$ 4,02	-R$ 395.705.668,54	Desceu	-0,1169	4,45	-R$ 2.286.072.885,32	Desceu	-0,1169	R$ 4,45	-R$ 2.286.072.885,32	Desceu	-0,1149	R$ 4,44	-R$ 2.241.883.982,71	Desceu
LREN3	1/26/2024	15,78	-2,29	-5,62	-9,41	-9,41	-24,94	15,7	16,23	194,2 M	951.329.770	Lojas Renner	Varejo	53	51-60 anos	-0,0229	R$ 16,15	-R$ 351.831.366,64	Desceu	-0,0562	R$ 16,72	-R$ 893.911.303,14	Desceu	-0,0941	17,42	-R$ 1.559.363.807,06	Desceu	-0,0941	R$ 17,42	-R$ 1.559.363.807,06	Desceu	-0,2494	R$ 21,02	-R$ 4.987.994.607,50	Desceu
CRFB3	1/26/2024	10,71	-2,45	-9,47	-13,98	-13,98	-32,72	10,7	11,08	38,19 M	533.990.587	Carrefour Brasil	Varejo	47	41-50 anos	-0,0245	R$ 10,98	-R$ 143.635.530,57	Desceu	-0,0947	R$ 11,83	-R$ 598.247.002,08	Desceu	-0,1398	12,45	-R$ 929.460.216,59	Desceu	-0,1398	R$ 12,45	-R$ 929.460.216,59	Desceu	-0,3272	R$ 15,92	-R$ 2.781.316.322,70	Desceu
BHIA3	1/26/2024	8,70	-2,46	-6,95	-23,55	-23,55	-85,74	8,67	8,95	27,54 M	94.843.047	Casas Bahia	Varejo	71	71-80 anos	-0,0246	R$ 8,92	-R$ 20.810.240,84	Desceu	-0,0695	R$ 9,35	-R$ 61.630.143,33	Desceu	-0,2355	11,38	-R$ 254.178.125,37	Desceu	-0,2355	R$ 11,38	-R$ 254.178.125,37	Desceu	-0,8574	R$ 61,01	-R$ 4.961.222.496,01	Desceu
RENT3	1/26/2024	56,24	-3,63	-6,41	-11,57	-11,57	-2,77	56,04	58,9	624,74 M	853.202.347	Localiza	Aluguel de Carros	48	41-50 anos	-0,0363	R$ 58,36	-R$ 1.807.432.634,46	Desceu	-0,0641	R$ 60,09	-R$ 3.286.441.724,22	Desceu	-0,1157	63,60	-R$ 6.278.141.320,20	Desceu	-0,1157	R$ 63,60	-R$ 6.278.141.320,20	Desceu	-0,0277	R$ 57,84	-R$ 1.367.026.195,48	Desceu
CVCB3	1/26/2024	3,07	-4,36	-5,54	-12,29	-12,29	-36,83	3,05	3,23	101,46 M	525.582.771	CVC	Turismo	49	41-50 anos	-0,0436	R$ 3,21	-R$ 73.557.408,06	Desceu	-0,0554	R$ 3,25	-R$ 94.632.719,17	Desceu	-0,1229	3,50	-R$ 226.090.475,71	Desceu	-0,1229	R$ 3,50	-R$ 226.090.475,71	Desceu	-0,3683	R$ 4,86	-R$ 940.741.575,27	Desceu
GOLL4	1/26/2024	5,92	-8,07	-15,91	-34	-34	-25,44	5,51	6,02	154,36 M	198.184.909	GOL	Transporte Aéreo	21	21-30 anos	-0,0807	R$ 6,44	-R$ 102.993.202,62	Desceu	-0,1591	R$ 7,04	-R$ 221.982.181,72	Desceu	-0,34	8,97	-R$ 604.403.916,42	Desceu	-0,3400	R$ 8,97	-R$ 604.403.916,42	Desceu	-0,2544	R$ 7,94	-R$ 400.316.504,60	Desceu